num,codigo,titulo,descripcion,url_relativa,url_completa
254,FLUJOOFFLINEAGENTE,FLUJOOFFLINEAGENTE,Indica si se usa el flujo alternativo para el usuario agente en el offline,params/254_FLUJOOFFLINEAGENTE.html,https://pacardenaz.github.io/parametros-manual/params/254_FLUJOOFFLINEAGENTE.html
255,OCULTARVUELOSOFFLINE,Ocultar vuelos en el buscador Offline,Ocultar vuelos en el buscador Offline,params/255_Ocultar_vuelos_en_el_buscador_Offline.html,https://pacardenaz.github.io/parametros-manual/params/255_Ocultar_vuelos_en_el_buscador_Offline.html
256,USEMODEHOTELOFFLINEBASIC,Usar modo hotel offline básico en offline,Usar modo hotel offline básico en offline,params/256_Usar_modo_hotel_offline_básico_en_offline.html,https://pacardenaz.github.io/parametros-manual/params/256_Usar_modo_hotel_offline_básico_en_offline.html
257,VERINFOADICIONALOFFLINE,Ver información adicional en offline,Ver información adicional en offline,params/257_Ver_información_adicional_en_offline.html,https://pacardenaz.github.io/parametros-manual/params/257_Ver_información_adicional_en_offline.html
258,NUMEROHOTELESOFFLINEELEGIR,Número de Hoteles Offline Obligatorios,Número de Hoteles Offline Obligatorios,params/258_Número_de_Hoteles_Offline_Obligatorios.html,https://pacardenaz.github.io/parametros-manual/params/258_Número_de_Hoteles_Offline_Obligatorios.html
259,DIASANTESINICIABUSQOFFLINE,Días antes para solicitar servicio offline,Días antes para solicitar servicio offline,params/259_Días_antes_para_solicitar_servicio_offline.html,https://pacardenaz.github.io/parametros-manual/params/259_Días_antes_para_solicitar_servicio_offline.html
260,OCULTARAUTOSOFFLINE,Ocultar autos en el buscador Offline,Ocultar autos en el buscador Offline,params/260_Ocultar_autos_en_el_buscador_Offline.html,https://pacardenaz.github.io/parametros-manual/params/260_Ocultar_autos_en_el_buscador_Offline.html
261,RESERVATRANSPORTEINDEPENDIENTE,Componente transporte independiente,Componente transporte independiente,params/261_Componente_transporte_independiente.html,https://pacardenaz.github.io/parametros-manual/params/261_Componente_transporte_independiente.html
262,NUMEROHOTELESOFFILINEMOSTRAR,Cantidad de hoteles a mostrar en sección hoteles offline,Cantidad de hoteles a mostrar en sección hoteles offline,params/262_Cantidad_de_hoteles_a_mostrar_en_sección_hoteles_offline.html,https://pacardenaz.github.io/parametros-manual/params/262_Cantidad_de_hoteles_a_mostrar_en_sección_hoteles_offline.html
263,OCULTARCOMPARTIRHABITACIONHOTELOFFLINE,Ocultar opcion compartir habitacion en hoteles offline,Ocultar opcion compartir habitacion en hoteles offline,params/263_Ocultar_opcion_compartir_habitacion_en_hoteles_offline.html,https://pacardenaz.github.io/parametros-manual/params/263_Ocultar_opcion_compartir_habitacion_en_hoteles_offline.html
264,HOFFOPCIONESDISPONIBLES,Opciones hoteles offline,Parametro para Definir que opciones deben aparecer en plugin de hotel offline.,params/264_Opciones_hoteles_offline.html,https://pacardenaz.github.io/parametros-manual/params/264_Opciones_hoteles_offline.html
265,CAMBIARHORASOFFLINE,Cambiar las horas en buscador offline por Mañana Tarde Noche,Cambiar las horas en buscador offline por Mañana Tarde Noche,params/265_Cambiar_las_horas_en_buscador_offline_por_Mañana_Tarde_Noche.html,https://pacardenaz.github.io/parametros-manual/params/265_Cambiar_las_horas_en_buscador_offline_por_Mañana_Tarde_Noche.html
266,PAGOCASHAEROLINEACORPORATIVO,Aerolíneas con pago en Cash / Efectivo,Aerolíneas con pago en Cash / Efectivo,params/266_Aerolíneas_con_pago_en_Cash_Efectivo.html,https://pacardenaz.github.io/parametros-manual/params/266_Aerolíneas_con_pago_en_Cash_Efectivo.html
267,BLOQUEARFORMTC,Bloquear formulario tarjeta de crédito,Bloquear formulario tarjeta de crédito,params/267_Bloquear_formulario_tarjeta_de_crédito.html,https://pacardenaz.github.io/parametros-manual/params/267_Bloquear_formulario_tarjeta_de_crédito.html
268,MONEDABUSQUEDA,Tipo Moneda para buscar Hoteles y Carros,Tipo Moneda para buscar Hoteles y Carros,params/268_Tipo_Moneda_para_buscar_Hoteles_y_Carros.html,https://pacardenaz.github.io/parametros-manual/params/268_Tipo_Moneda_para_buscar_Hoteles_y_Carros.html
269,INFOVOUCHERDEFAULT,Default INFO Eticket (Informacion tiquete),Default INFO Eticket (Informacion tiquete),params/269_Default_INFO_Eticket_(Informacion_tiquete).html,https://pacardenaz.github.io/parametros-manual/params/269_Default_INFO_Eticket_(Informacion_tiquete).html
270,REMARKCECO,Remark Centro de Costo,Parámetro para identificar los centros de costos en el PNR de la reserva.,params/270_Remark_Centro_de_Costo.html,https://pacardenaz.github.io/parametros-manual/params/270_Remark_Centro_de_Costo.html
271,REMARKMAXIMA,Remark Tarifa Maxima,Parámetro para identificar el remark de la tarifa mínima en el PNR de la reserva,params/271_Remark_Tarifa_Maxima.html,https://pacardenaz.github.io/parametros-manual/params/271_Remark_Tarifa_Maxima.html
272,REMARKMINIMO,Remark Tarifa Minima,Parámetro para identificar la tarifa mínima en el PNR de la reserva,params/272_Remark_Tarifa_Minima.html,https://pacardenaz.github.io/parametros-manual/params/272_Remark_Tarifa_Minima.html
273,REMARKMOTIVOVIAJE,Remark Motivo Viaje,Este parámetro sirve para identificar el remark del motivo de viaje en el PNR de la reserva,params/273_Remark_Motivo_Viaje.html,https://pacardenaz.github.io/parametros-manual/params/273_Remark_Motivo_Viaje.html
274,PASARELAPAGOINSURANCE,Nombre pasarela de pago para Seguros,Parámetro donde se configura el nombre de la pasarela de pago que será utilizada al momento de reservar una asistencia medica,params/274_Nombre_pasarela_de_pago_para_Seguros.html,https://pacardenaz.github.io/parametros-manual/params/274_Nombre_pasarela_de_pago_para_Seguros.html
275,OPCIONPAGOINSURANCE,Permite forma de pago en Asistencia,Permite forma de pago en Asistencia,params/275_Permite_forma_de_pago_en_Asistencia.html,https://pacardenaz.github.io/parametros-manual/params/275_Permite_forma_de_pago_en_Asistencia.html
